name,trial,cam,event,outcome
FS_R2_2024-06-29_1,71,camB,Reward,rnd
FS_R2_2024-06-29_1,72,camB,Reward,s
FS_R2_2024-06-29_1,73,camB,Reward,s
FS_R2_2024-06-29_1,74,camB,Reward,s
FS_R2_2024-06-29_1,75,camB,Reward,s
FS_R2_2024-06-29_1,76,camB,No_reward,nd
FS_R2_2024-06-29_1,77,camB,No_reward,nd
FS_R2_2024-06-29_1,78,camB,Reward,s
FS_R2_2024-06-29_1,79,camB,Reward,s
FS_R2_2024-06-29_1,80,camB,Reward,s
FS_R2_2024-06-29_1,81,camB,Reward,s
FS_R2_2024-06-29_1,82,camB,Reward,s
FS_R2_2024-06-29_1,83,camB,Reward,s
FS_R2_2024-06-29_1,84,camB,Reward,s
FS_R2_2024-06-29_1,85,camB,No_reward,nd
FS_R2_2024-06-29_1,86,camB,No_reward,nd
FS_R2_2024-06-29_1,87,camB,Reward,s
FS_R2_2024-06-29_1,88,camB,Reward,rnd
FS_R2_2024-06-29_1,89,camB,Reward,na
FS_R2_2024-06-29_1,90,camB,Reward,s
FS_R2_2024-06-29_1,91,camB,Reward,s
FS_R2_2024-06-29_1,92,camB,Reward,s
FS_R2_2024-06-29_1,93,camB,Reward,s
FS_R2_2024-06-29_1,94,camB,Reward,s
FS_R2_2024-06-29_1,95,camB,Reward,s
FS_R2_2024-06-29_1,96,camB,Reward,s
FS_R2_2024-06-29_1,97,camB,Reward,s
FS_R2_2024-06-29_1,98,camB,Reward,s
FS_R2_2024-06-29_1,99,camB,No_reward,nd
FS_R2_2024-06-29_1,100,camB,No_reward,nd
FS_R2_2024-06-29_1,101,camB,Reward,f
FS_R2_2024-06-29_1,102,camB,Reward,s
FS_R2_2024-06-29_1,103,camB,Reward,s
FS_R2_2024-06-29_1,104,camB,Reward,s
FS_R2_2024-06-29_1,105,camB,Reward,s
FS_R2_2024-06-29_1,106,camB,No_reward,nd
FS_R2_2024-06-29_1,107,camB,Reward,s
FS_R2_2024-06-29_1,108,camB,No_reward,nd
FS_R2_2024-06-29_1,109,camB,Reward,s
FS_R2_2024-06-29_1,110,camB,Reward,s
FS_R2_2024-06-29_1,111,camB,Reward,s
FS_R2_2024-06-29_1,112,camB,Reward,s
FS_R2_2024-06-29_1,113,camB,Reward,s
FS_R2_2024-06-29_1,114,camB,Reward,s
FS_R2_2024-06-29_1,115,camB,Reward,s
FS_R2_2024-06-29_1,116,camB,Reward,s
FS_R2_2024-06-29_1,117,camB,Reward,s
FS_R2_2024-06-29_1,118,camB,Reward,s
FS_R2_2024-06-29_1,119,camB,Reward,f
