,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,trial,tongue_contact,water_drop_stable,water_spilled,percentage_consumed,outcome,outcome_classification,raw_answers,confidence
10,10,10,10,22, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 18.9seconds, A close up of a mouse is seen sitting in front of a camera. 17.8 - 112.3seconds, A droplet of water is shown on a spout and the mouse grabs it with his tongue. 108.1 - 286.2seconds, The mouse continues to drink the water while the camera watches. 
7. I am 100% confident in my results.", I am 100% confident in my results.
11,11,11,11,59, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 18.7seconds, A mouse is seen sitting in front of a camera and looking off into the distance. 19.4 - 103.4seconds, A drop of water is shown on a spout and the mouse grabs it with his mouth. 104.1 - 286.6seconds, The mouse then drinks the water while the camera watches. 
7. I am 100% confident in my results.", I am 100% confident in my results.
12,12,12,12,107,,,,,s,,"1. Yes
2. No
3. Yes
4. 70%
5. Successful
6. 0.0 - 18.9seconds, A mouse is seen sitting in front of a camera and looking off into the distance. 19.5 - 100.1seconds, The mouse then grabs a water droplet with his mouth and drinks it. 101.7 - 286.6seconds, The mouse continues to drink the water while the camera watches.",
13,13,13,13,4, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 10.8: The mouse is head-fixed and a water drop is delivered to the spout. 11.7 - 19.2: The mouse lifts its paw and touches the water drop. 20.1 - 286.7: The mouse drinks the water drop.
7. I am 100% confident in my results.", I am 100% confident in my results.
14,14,14,14,41, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 18.9seconds, A close up of a mouse is seen sitting in front of a camera. 17.9 - 110.2seconds, A drop of water is shown on a stick and the mouse grabs it with his mouth. 108.2 - 286.2seconds, The mouse continues to drink from the drop while the camera watches. 
7. I am 100% confident in my results.", I am 100% confident in my results.
15,15,15,15,1, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 18.7seconds, A close up of a mouse is seen sitting in front of a camera. 19.4 - 102.1seconds, A droplet of water is shown on a spout and the mouse grabs it with his tongue. 103.5 - 286.9seconds, The mouse then drinks the water while the camera watches. 
7. I am 100% confident in my results.", I am 100% confident in my results.
16,16,16,16,75, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 18.9seconds, A close up of a mouse is seen sitting in front of a camera. 17.9 - 113.9seconds, A droplet of water is shown hanging from a spout and the mouse grabs it with his mouth. 113.9 - 286.1seconds, The mouse then drinks the water while the camera watches. 
7. I am 100% confident in my results.", I am 100% confident in my results.
17,17,17,17,51,,,,,s,,"1. Yes
2. No
3. Yes
4. 70%
5. Successful
6. 0.0 - 18.9seconds, A mouse is seen sitting in front of a spout with water dripping down. 18.9 - 109.2seconds, The mouse then grabs the water with his paws and drinks it. 109.2 - 286.2seconds, The mouse continues to drink the water while the camera watches.",
18,18,18,18,37, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 286.9seconds, A mouse is shown sitting in front of a spout with a drop of water hanging from it. 27.9 - 286.9seconds, The mouse grabs the drop with its paw and eats it. 
7. I am 100% confident in my results.", I am 100% confident in my results.
19,19,19,19,74, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 286.9seconds, A mouse is shown sitting in front of a spout with a drop of water hanging from it. 27.9 - 286.9seconds, The mouse then uses its paw to grab the drop and drink it. 
7. I am 100% confident in my results.", I am 100% confident in my results.
20,20,20,20,54, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 17.8seconds, A mouse is seen sitting in front of a spout with a drop of water hanging from it. 17.8 - 109.1seconds, The mouse then grabs the drop with his paw and puts it in his mouth. 109.1 - 286.3seconds, He continues to eat the water while looking back at the camera. 
7. I am 100% confident in my results.", I am 100% confident in my results.
21,21,21,21,115, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 28.7: The mouse is head-fixed and a water drop is delivered to the spout. 29.3 - 103.0: The mouse reaches for the water drop with its right paw. 103.6 - 113.3: The mouse brings the water drop to its mouth. 113.9 - 286.6: The mouse drinks the water drop.
7. I am 100% confident in my results.", I am 100% confident in my results.
22,22,22,22,103, Yes, No, Yes,70.0,s, Successful,"1. Yes
2. No
3. Yes
4. 70%
5. Successful
6. 0.0 - 18.9seconds, A mouse is seen sitting in front of a camera and looking off into the distance. 19.5 - 107.4seconds, The mouse then grabs a water droplet with his mouth and begins to drink. 108.0 - 286.1seconds, The mouse continues drinking while the camera watches on. 
7. I am 100% confident in my results.", I am 100% confident in my results.
23,23,23,23,62, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 18.7seconds, A mouse is seen sitting in front of a spout with a drop of water hanging off of it. 19.4 - 101.2seconds, The mouse then grabs the water with his paw and puts it in his mouth. 102.6 - 286.4seconds, He continues to do this over and over again while the camera watches. 
7. I am 100% confident in my results.", I am 100% confident in my results.
24,24,24,24,29, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 18.9seconds, A close up of a mouse is seen sitting in front of a camera. 17.9 - 110.3seconds, A droplet of water is shown on a spout and the mouse grabs it with his mouth. 108.3 - 286.2seconds, The mouse then drinks the water while the camera watches. 
7. I am 100% confident in my results.", I am 100% confident in my results.
25,25,25,25,100, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 18.9seconds, A close up of a mouse is seen sitting in front of a camera. 17.5 - 113.2seconds, A droplet of water is shown on a spout and the mouse grabs it with his mouth. 113.2 - 286.2seconds, The mouse then drinks the water while the camera watches. 
7. I am 100% confident in my results.", I am 100% confident in my results.
26,26,26,26,102, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 18.9seconds, A mouse is seen sitting in front of a spout with a drop of water hanging from it. 18.9 - 107.0seconds, The mouse then grabs the water with his paw and attempts to drink it. 107.0 - 286.1seconds, The mouse continues to try and grab the water but fails to do so. 
7. I am 100% confident in my results.", I am 100% confident in my results.
27,27,27,27,64, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 17.8seconds, A mouse is seen sitting in front of a spout with a drop of water hanging off of it. 17.8 - 119.2seconds, The mouse then grabs the drop with his paw and puts it in his mouth. 119.2 - 286.1seconds, He continues to do this several times while the camera watches. 
7. I am 100% confident in my results.", I am 100% confident in my results.
28,28,28,28,63, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 7.8seconds, A mouse is seen sitting in front of a spout with a drop of water hanging off. 7.8 - 19.0seconds, The mouse then uses his tongue to grab the water and drink it. 19.0 - 286.2seconds, The mouse continues drinking the water while the camera watches. 
7. I am 100% confident in my results.", I am 100% confident in my results.
29,29,29,29,113, Yes, No, Yes,80.0,s, Successful: The mouse retrieved most of the water (more than 70%).,"1. Yes
2. No
3. Yes
4. 80%
5. Successful: The mouse retrieved most of the water (more than 70%).
6. 0.0 - 19.0 seconds, A mouse is seen sitting in front of a spout with a drop of water hanging from it. 19.0 - 100.0 seconds, The mouse then uses his tongue to lick the water off the spout. 100.0 - 286.2 seconds, The mouse continues licking until all the water is gone. 
7. I am 100% confident in my results.", I am 100% confident in my results.
30,30,30,30,2, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 79.8seconds, A close up of a mouse is seen sitting in front of a camera and looking around. 79.8 - 160.7seconds, A drop of water is shown on a spout and the mouse grabs it with his mouth. 160.7 - 286.6seconds, The mouse then drinks the water while the camera watches. 
7. I am 100% confident in my results.", I am 100% confident in my results.
31,31,31,31,56, Yes, No, Yes,70.0,s, Successful: The mouse retrieved most of the water (more than 70%).,"1. Yes
2. No
3. Yes
4. 70%
5. Successful: The mouse retrieved most of the water (more than 70%).
6. 0.0 - 18.9seconds, A mouse is seen sitting in front of a spout with a drop of water hanging off of it. 19.5 - 111.5seconds, The mouse then grabs the water with his paw and drinks it. 112.1 - 286.1seconds, The mouse continues to drink the water while looking back at the camera. 
7. I am 100% confident in my results.", I am 100% confident in my results.
32,32,32,32,31, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 79.8seconds, A close up of a mouse is seen sitting in front of a camera and looking at a droplet of water. 79.8 - 170.3seconds, The mouse then grabs the water with his mouth and begins to drink. 170.3 - 286.2seconds, The mouse continues drinking while the camera watches on. 
7. I am 100% confident in my results.", I am 100% confident in my results.
33,33,33,33,50, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 28.9seconds, A mouse is seen sitting in front of a spout with a drop of water hanging off. 27.2 - 111.2seconds, The mouse then grabs the drop with his paw and puts it in his mouth. 109.5 - 286.3seconds, The mouse continues to eat the ice while looking back to the camera. 
7. I am 100% confident in my results.", I am 100% confident in my results.
34,34,34,34,60, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 17.9seconds, A mouse is seen sitting in front of a spout with a drop of water hanging from it. 18.5 - 110.2seconds, The mouse then grabs the water with his paw and brings it to his mouth. 111.5 - 286.2seconds, He continues to eat the water while looking back at the camera. 
7. I am 100% confident in my results.", I am 100% confident in my results.
35,35,35,35,71,,,,,s,,"1. Yes
2. No
3. Yes
4. 70%
5. Successful
6. 0.0 - 18.9seconds, A mouse is seen sitting in front of a camera and looking off into the distance. 19.5 - 103.1seconds, A drop of water is shown on a spout and the mouse grabs it with his tongue. 103.1 - 286.2seconds, The mouse then drinks the water and looks back to the camera.",
36,36,36,36,72, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 27.8seconds, A mouse is seen sitting in front of a spout with a drop of water hanging from it. 27.8 - 109.2seconds, The mouse then grabs the drop with his paw and puts it in his mouth. 109.2 - 286.3seconds, He continues to eat the water off of his paw. 
7. I am 100% confident in my results.", I am 100% confident in my results.
37,37,37,37,36, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 18.7seconds, A mouse is seen sitting in front of a camera and looking off into the distance. 19.4 - 110.2seconds, A drop of water is shown on a spout and the mouse grabs it with his tongue. 111.6 - 286.3seconds, The mouse continues to drink the water while the camera watches. 
7. I am 100% confident in my results.", I am 100% confident in my results.
38,38,38,38,17, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 18.9seconds, A close up of a mouse is seen sitting in front of a camera. 17.8 - 110.2seconds, A droplet of water is shown on a spout and the mouse grabs it with his mouth. 108.3 - 286.2seconds, The mouse then drinks the water while the camera watches. 
7. I am 100% confident in my results.", I am 100% confident in my results.
39,39,39,39,40, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 28.9seconds, A close up of a mouse is seen sitting in front of a camera. 27.8 - 161.1seconds, A drop of water is shown on a spout and the mouse grabs it with his mouth. 158.0 - 286.1seconds, The mouse then drinks the water while the camera watches. 
7. I am 100% confident in my results.", I am 100% confident in my results.
40,40,40,40,105,,,,,s,,"1. Yes
2. No
3. Yes
4. 70%
5. Successful
6. 0.0 - 18.9seconds, A mouse is seen sitting in front of a camera and looking off into the distance. 19.5 - 109.7seconds, The mouse then grabs a water droplet with his mouth and drinks it. 110.3 - 286.2seconds, The mouse continues to drink the water while the camera watches.",
41,41,41,41,8, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 18.7seconds, A mouse is seen sitting in front of a spout with a drop of water hanging off of it. 19.4 - 107.2seconds, The mouse then uses his tongue to grab the water and drink it. 110.9 - 286.7seconds, The mouse continues to do this over and over again while the camera watches. 
7. I am 100% confident in my results.", I am 100% confident in my results.
42,42,42,42,6, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 18.7seconds, A mouse is seen sitting in front of a spout with a drop of water hanging off of it. 19.4 - 101.2seconds, The mouse then grabs the drop with his paw and puts it in his mouth. 102.6 - 286.7seconds, He continues to drink the water while the camera watches on. 
7. I am 100% confident in my results.", I am 100% confident in my results.
43,43,43,43,96, Yes, No, Yes,70.0,s, Successful: The mouse retrieved most of the water (more than 70%).,"1. Yes
2. No
3. Yes
4. 70%
5. Successful: The mouse retrieved most of the water (more than 70%).
6. 0.0 - 28.9seconds, A mouse is seen sitting in front of a spout with a drop of water hanging off. 28.9 - 103.6seconds, The mouse then grabs the drop with his paw and puts it in his mouth. 103.6 - 178.2seconds, The mouse continues to grab the drops while the camera watches. 178.2 - 286.2seconds, The mouse drinks the water and looks back at the camera. 
7. 99%", 99%
44,44,44,44,101,,,,,s,,"1. Yes
2. No
3. Yes
4. 70%
5. Successful
6. 0.0 - 18.9seconds, A mouse is seen sitting in front of a spout with a drop of water hanging off the end. 18.9 - 103.1seconds, The mouse then uses his tongue to grab the water and drink it. 103.1 - 286.2seconds, The mouse continues to do this several times while the camera watches.",
45,45,45,45,7, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 17.8seconds, A mouse is seen sitting in front of a camera and looking off into the distance. 19.2 - 111.1seconds, A drop of water is shown on a spout and the mouse grabs it with his mouth. 113.5 - 286.3seconds, The mouse then drinks the water and looks back to the camera. 
7. I am 100% confident in my results.", I am 100% confident in my results.
46,46,46,46,35, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 18.9seconds, A mouse is seen sitting in front of a spout with a drop of water hanging off. 18.9 - 179.2seconds, The mouse then grabs the drop with his paw and puts it in his mouth. 179.2 - 286.2seconds, He continues to do this several times while looking back at the camera. 
7. I am 100% confident in my results.", I am 100% confident in my results.
47,47,47,47,65, Yes, No, Yes,70.0,s, Successful,"1. Yes
2. No
3. Yes
4. 70%
5. Successful
6. 0.0 - 18.9seconds, A mouse is seen sitting in front of a camera and looking off into the distance. 19.5 - 110.4seconds, A drop of water is shown on a spout and the mouse grabs it with his tongue. 110.4 - 286.3seconds, The mouse then drinks the water and looks back to the camera. 
7. 99%", 99%
48,48,48,48,30, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 28.9seconds, A close up of a mouse is seen sitting in front of a camera. 27.9 - 107.3seconds, A droplet of water is shown on a spout and the mouse grabs it with his tongue. 107.3 - 286.1seconds, The mouse continues to drink the water while the camera watches. 
7. I am 100% confident in my results.", I am 100% confident in my results.
49,49,49,49,21, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 7.8seconds, A mouse is seen sitting in front of a spout with a drop of water hanging off. 7.8 - 19.0seconds, The mouse then grabs the drop with his mouth and begins to drink. 19.0 - 286.1seconds, The mouse continues drinking while the camera watches on. 
7. I am 100% confident in my results.", I am 100% confident in my results.
50,50,50,50,110, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 18.9seconds, A mouse is seen sitting in front of a spout with a drop of water hanging off of it. 18.9 - 117.8seconds, The mouse then uses his tongue to grab the water and drink it. 117.8 - 286.1seconds, The mouse continues to do this over and over again while the camera watches. 
7. I am 100% confident in my results.", I am 100% confident in my results.
51,51,51,51,46, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 18.9seconds, A mouse is seen sitting in front of a camera and looking off into the distance. 17.6 - 111.1seconds, A droplet of water is shown on a spout and the mouse grabs it with his tongue. 108.4 - 286.3seconds, The mouse continues to drink the water while the camera watches. 
7. I am 100% confident in my results.", I am 100% confident in my results.
52,52,52,52,42,,,,,f,,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 87.9seconds, A close up of a mouse is seen sitting in front of a camera and looking around. 87.9 - 177.3seconds, A droplet of water is shown dripping down and the mouse grabs it with his mouth. 177.3 - 286.2seconds, The mouse continues to drink the water while the camera watches on.",
53,53,53,53,24, Yes, No, Yes,50.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. Yes
4. 50%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 18.7seconds, A close up of a mouse is seen sitting in front of a camera. 19.4 - 101.2seconds, A droplet of water is shown on a spout and the mouse grabs it with his mouth. 102.6 - 286.2seconds, The mouse then drinks the water while the camera watches. 
7. I am 100% confident in my results.", I am 100% confident in my results.
54,54,54,54,19, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 18.9seconds, A close up of a mouse is seen sitting in front of a camera. 17.9 - 110.2seconds, A drop of water is shown hanging from a spout and the mouse grabs it with his mouth. 108.2 - 286.1seconds, The mouse then drinks the water and looks back to the camera. 
7. I am 100% confident in my results.", I am 100% confident in my results.
55,55,55,55,97, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 18.7seconds, A mouse is seen sitting in front of a camera with its tongue out. 19.4 - 112.3seconds, A drop of water is then placed on a stick and the mouse grabs it with his mouth. 113.0 - 286.4seconds, The mouse then drinks the water while the camera watches. 
7. I am 100% confident in my results.", I am 100% confident in my results.
56,56,56,56,11, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 28.9seconds, A close up of a mouse is seen sitting in front of a camera. 27.9 - 112.2seconds, A drop of water is shown on a spout and the mouse grabs it with his mouth. 112.2 - 286.1seconds, The mouse then drinks the water while the camera watches. 
7. I am 100% confident in my results.", I am 100% confident in my results.
57,57,57,57,109, Yes, No, Yes,70.0,s, Successful,"1. Yes
2. No
3. Yes
4. 70%
5. Successful
6. 0.0 - 18.9seconds, A mouse is seen sitting in front of a camera and looking off into the distance. 19.5 - 108.4seconds, The mouse then grabs a water droplet with his tongue and drinks it. 110.8 - 286.2seconds, The mouse continues to drink the water while the camera watches. 
7. I am 100% confident in my results.", I am 100% confident in my results.
58,58,58,58,9,,,,,s,,"1. Yes
2. No
3. Yes
4. 70%
5. Successful
6. 0.0 - 18.9seconds, A close up of a mouse is seen sitting in front of a water droplet. 18.9 - 100.1seconds, The mouse then grabs the water with his paw and drinks it. 100.1 - 160.3seconds, The mouse continues to drink the water while the camera watches. 160.3 - 286.2seconds, The mouse finishes drinking and looks back at the camera.",
59,59,59,59,15, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 18.9seconds, A mouse is seen sitting in front of a spout with a drop of water hanging off. 17.9 - 100.5seconds, The mouse then grabs the drop with his paw and puts it in his mouth. 99.5 - 286.3seconds, He continues to eat the water while the camera watches. 
7. I am 100% confident in my results.", I am 100% confident in my results.
60,60,60,60,43,,,,,f,,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 87.9seconds, A close up of a mouse is seen sitting in front of a spout with a drop of water hanging from it. 87.9 - 179.0seconds, The mouse then grabs the drop with his paw and puts it in his mouth. 179.0 - 286.1seconds, The mouse continues to eat the ice while looking back at the camera.",
