,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,trial,tongue_contact,water_drop_stable,water_spilled,percentage_consumed,outcome,outcome_classification,raw_answers,confidence
10,10,10,10,112, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 17.9seconds, A mouse is seen sitting in front of a spout with its tongue out. 18.5 - 110.1seconds, The mouse then grabs a water droplet and begins to lick it. 111.5 - 286.5seconds, The mouse continues licking until all the water is gone. 
7. I am 100% confident in my results.", I am 100% confident in my results.
11,11,11,11,102, Yes, No, Yes,50.0,s, Successful: The mouse retrieved most of the water (more than 70%).,"1. Yes
2. No
3. Yes
4. 50%
5. Successful: The mouse retrieved most of the water (more than 70%).
6. 0.0 - 18.9seconds, A small mouse is seen sitting in front of a camera with a droplet of water hanging from a spout. 19.5 - 111.4seconds, The mouse then grabs the water with his paw and drinks it. 112.0 - 286.5seconds, The mouse continues to drink the water while the camera watches on. 
7. I am 100% confident in my results.", I am 100% confident in my results.
12,12,12,12,113, Yes, No, Yes,70.0,s, Successful: The mouse retrieved most of the water (more than 70%).,"1. Yes
2. No
3. Yes
4. 70%
5. Successful: The mouse retrieved most of the water (more than 70%).
6. 0.0 - 18.9seconds, A mouse is seen sitting in front of a spout with a drop of water hanging off. 18.9 - 103.5seconds, The mouse then grabs the drop with his mouth and pulls it into his mouth. 103.5 - 179.1seconds, The mouse continues to grab the drops while the camera watches. 179.1 - 286.3seconds, The mouse drinks the water and looks back at the camera. 
7. 95%", 95%
13,13,13,13,2, Yes, No, Yes,100.0,s, Successful: The mouse retrieved most of the water (more than 70%).,"1. Yes
2. No
3. Yes
4. 100%
5. Successful: The mouse retrieved most of the water (more than 70%).
6. 0.0 - 18.9seconds, A mouse is seen sitting in front of a spout with a drop of water hanging off. 18.9 - 103.4seconds, The mouse then grabs the drop with his paw and puts it in his mouth. 103.4 - 286.2seconds, He continues to drink the water while the camera watches on. 
7. I am 100% confident in my results.", I am 100% confident in my results.
14,14,14,14,72, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 18.7seconds, A mouse is seen sitting in front of a spout with a drop of water hanging off of it. 19.4 - 111.2seconds, The mouse then attempts to grab the water but fails several times. 112.6 - 228.2seconds, The mouse continues to try and grab the water while the camera watches. 229.6 - 286.3seconds, In the end the mouse gives up and does not drink any water. 
7. 95%", 95%
15,15,15,15,105, Yes, No, Yes,100.0,s, Successful,"1. Yes
2. No
3. Yes
4. 100%
5. Successful
6. 0.0 - 18.7seconds, A mouse is seen sitting in front of a spout with water dripping down. 19.4 - 113.2seconds, The mouse then reaches out and grabs the water with his tongue. 114.6 - 286.7seconds, He continues to drink the water while the camera watches. 
7. I am 100% confident in my results.", I am 100% confident in my results.
16,16,16,16,8, Yes, No, Yes,100.0,s, Successful: The mouse retrieved most of the water (more than 70%).,"1. Yes
2. No
3. Yes
4. 100%
5. Successful: The mouse retrieved most of the water (more than 70%).
6. 0.0 - 18.9seconds, A mouse is seen sitting in front of a spout with a drop of water hanging from it. 18.9 - 103.2seconds, The mouse then grabs the drop with his paw and puts it in his mouth. 103.2 - 160.2seconds, The mouse continues to drink the water while the camera watches. 160.2 - 286.2seconds, The mouse finishes drinking and looks back at the camera. 
7. I am 100% confident in my results.", I am 100% confident in my results.
17,17,17,17,101, Yes, No, Yes,70.0,s, Successful: The mouse retrieved most of the water (more than 70%).,"1. Yes
2. No
3. Yes
4. 70%
5. Successful: The mouse retrieved most of the water (more than 70%).
6. 0.0 - 18.9seconds, A mouse is seen sitting in front of a spout with a drop of water hanging from it. 18.9 - 109.3seconds, The mouse then grabs the water with his paw and puts it in his mouth. 109.3 - 177.3seconds, He continues to drink the water while the camera watches. 177.3 - 286.3seconds, He finishes drinking and looks back at the camera. 
7. 95%", 95%
18,18,18,18,35, Yes, No, Yes,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. Yes
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 17.8seconds, A mouse is seen sitting in front of a spout with a drop of water hanging from it. 19.2 - 101.2seconds, The mouse then moves his paw up and down while looking at the camera. 103.5 - 286.4seconds, The mouse then grabs the drop of water and drinks it. 
7. I am 100% confident in my results.", I am 100% confident in my results.
19,19,19,19,42, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 18.9seconds, A mouse is seen sitting in front of a spout with a drop of water hanging off of it. 18.9 - 117.0seconds, The mouse then moves his tongue around and eventually grabs the water. 117.0 - 286.1seconds, He continues to drink the water while the camera watches on. 
7. I am 100% confident in my results.", I am 100% confident in my results.
20,20,20,20,19, Yes, No, Yes,70.0,s, Successful: The mouse retrieved most of the water (more than 70%).,"1. Yes
2. No
3. Yes
4. 70%
5. Successful: The mouse retrieved most of the water (more than 70%).
6. 0.0 - 18.9seconds, A mouse is seen sitting in front of a spout with a drop of water hanging off. 18.9 - 100.8seconds, The mouse then grabs the drop with his paw and puts it in his mouth. 100.8 - 160.7seconds, He continues to drink the water while the camera watches. 160.7 - 286.7seconds, He finishes drinking and looks back at the camera. 
7. I am 100% confident in my results.", I am 100% confident in my results.
21,21,21,21,43,,,,,s,,"1. Yes
2. No
3. Yes
4. 100%
5. Successful
6. 0.0 - 18.7seconds, A mouse is seen sitting in front of a spout with water dripping down. 19.4 - 111.1seconds, The mouse then grabs the water with his tongue and drinks it. 112.5 - 286.7seconds, The mouse continues to drink the water while the camera watches.",
22,22,22,22,3, Yes, No, Yes,100.0,s, Successful: The mouse retrieved most of the water (more than 70%).,"1. Yes
2. No
3. Yes
4. 100%
5. Successful: The mouse retrieved most of the water (more than 70%).
6. 0.0 - 18.9seconds, A mouse is seen sitting in front of a spout with a drop of water hanging from it. 18.9 - 111.3seconds, The mouse then grabs the water with his paw and puts it in his mouth. 111.3 - 286.3seconds, He continues to drink the water until it's gone. 
7. I am 100% confident in my results.", I am 100% confident in my results.
23,23,23,23,104, Yes, No, Yes,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. Yes
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 18.7seconds, A mouse is seen sitting in front of a spout with a drop of water hanging off of it. 19.4 - 100.2seconds, The mouse then attempts to grab the water but fails several times. 101.6 - 286.4seconds, The mouse continues to try and grab the water until he eventually does. 
7. I am 100% confident in my results.", I am 100% confident in my results.
24,24,24,24,73,,,,,s,,"1. Yes
2. No
3. Yes
4. 100%
5. Successful
6. 0.0 - 18.9seconds, A mouse is seen sitting in front of a spout with water dripping down. 18.9 - 107.3seconds, The mouse then grabs the water and drinks it all up. 107.3 - 286.3seconds, The mouse continues to drink the water over and over again.",
25,25,25,25,20, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 18.9seconds, A small mouse is seen sitting in front of a spout with a drop of water hanging from it. 18.9 - 173.4seconds, The mouse then moves his paws around and grabs the water to drink. 173.4 - 286.4seconds, The mouse continues to drink while the camera watches on. 
7. I am 100% confident in my results.", I am 100% confident in my results.
26,26,26,26,114, Yes, No, Yes,70.0,s, Successful: The mouse retrieved most of the water (more than 70%).,"1. Yes
2. No
3. Yes
4. 70%
5. Successful: The mouse retrieved most of the water (more than 70%).
6. 0.0 - 18.9seconds, A mouse is seen sitting in front of a camera and looking off into the distance. 19.5 - 103.1seconds, A drop of water is shown on a stick and the mouse grabs it with his mouth. 103.1 - 286.2seconds, The mouse then drinks the water and looks back to the camera. 
7. I am 100% confident in my results.", I am 100% confident in my results.
27,27,27,27,0, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 18.9seconds, A mouse is seen sitting in front of a spout with a drop of water hanging from it. 18.9 - 117.3seconds, The mouse then uses his tongue to flick the water off and into his mouth. 117.3 - 286.2seconds, He continues to do this several times while the camera watches. 
7. I am 100% confident in my results.", I am 100% confident in my results.
