,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,trial,tongue_contact,water_drop_stable,water_spilled,percentage_consumed,outcome,outcome_classification,raw_answers,confidence
13,13,13,13,30,,,,,s,,"1. Yes
2. No
3. Yes
4. 100%
5. Successful
6. 0.0 - 18.9seconds, A mouse is seen sitting in front of a spout with water dripping down. 18.9 - 107.3seconds, The mouse then grabs the water and drinks it all up. 107.3 - 286.2seconds, The mouse continues to drink the water over and over again.",
14,14,14,14,21, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 18.9seconds, A mouse is seen sitting in front of a spout with a drop of water hanging off. 18.9 - 171.4seconds, The mouse then uses his tongue to lick the water off the spout. 171.4 - 286.2seconds, He continues licking until he has no more water to drink. 
7. I am 100% confident in my results.", I am 100% confident in my results.
15,15,15,15,24, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 18.9seconds, A mouse is seen sitting in front of a spout with a drop of water hanging off. 17.9 - 113.2seconds, The mouse then uses his tongue to lick the water off the spout. 113.2 - 286.3seconds, He continues licking until he has the entire drop in his mouth and swallows. 
7. I am 100% confident in my results.", I am 100% confident in my results.
16,16,16,16,19, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 18.9seconds, A mouse is seen sitting in front of a spout with its tongue out. 17.3 - 113.2seconds, The mouse then grabs a hold of the water and drinks it. 113.2 - 286.3seconds, The mouse continues to drink the water while the camera watches. 
7. I am 100% confident in my results.", I am 100% confident in my results.
17,17,17,17,11, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 18.7seconds, A mouse is seen sitting in front of a spout with a drop of water hanging off. 19.4 - 113.2seconds, The mouse then uses his tongue to lick the water off the spout. 114.6 - 286.2seconds, He continues licking until he has the entire drop in his mouth and drinks it. 
7. I am 100% confident in my results.", I am 100% confident in my results.
18,18,18,18,9, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 17.8seconds, A close up of a mouse is seen sitting in front of a camera. 19.2 - 111.4seconds, The mouse then grabs a water droplet with his mouth and begins to drink. 113.8 - 286.2seconds, The mouse continues drinking while the camera watches on. 
7. I am 100% confident in my results.", I am 100% confident in my results.
19,19,19,19,15, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 17.9seconds, A mouse is seen sitting in front of a spout with its tongue out. 18.5 - 113.1seconds, The mouse then grabs a water droplet and begins to lick it. 113.8 - 286.4seconds, The mouse continues licking the water off his paw. 
7. I am 100% confident in my results.", I am 100% confident in my results.
20,20,20,20,3, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 18.9seconds, A mouse is seen sitting in a cage with its head fixed in place. 17.8 - 111.1seconds, A metal spout appears and the mouse grabs it with his mouth. 111.1 - 286.3seconds, The mouse then drinks the water that is on the spout. 
7. I am 100% confident in my results.", I am 100% confident in my results.
21,21,21,21,13, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 18.7seconds, A mouse is seen sitting in front of a spout with a drop of water on it. 19.4 - 110.2seconds, The mouse then uses his tongue to lick the water off the spout. 111.6 - 286.4seconds, He continues licking until he has drank all the water. 
7. I am 100% confident in my results.", I am 100% confident in my results.
22,22,22,22,20, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 17.8seconds, A close up of a mouse is seen sitting in front of a camera. 19.2 - 120.1seconds, A droplet of water is shown on a spout and the mouse grabs it with his tongue. 122.3 - 286.4seconds, The mouse continues to drink the water while the camera watches. 
7. I am 100% confident in my results.", I am 100% confident in my results.
23,23,23,23,70, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 286.9seconds, A mouse is sitting in a cage. 1.7 - 286.9seconds, A drop of water is hanging from a metal spout. 286.9 - 287.9seconds, The mouse licks the drop of water off the spout. 
7. I am 100% confident in my results.", I am 100% confident in my results.
24,24,24,24,12, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 18.7seconds, A mouse is seen sitting in front of a spout with a drop of water hanging off. 19.4 - 113.2seconds, The mouse then uses his tongue to lick the water off the spout. 113.9 - 286.6seconds, He continues licking until he has the entire drop in his mouth. 
7. I am 100% confident in my results.", I am 100% confident in my results.
25,25,25,25,52, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 286.9seconds, A mouse is sitting in a cage. 1.7 - 286.9seconds, A drop of water is hanging from a metal spout. 28.2 - 286.9seconds, The mouse reaches out and grabs the drop with its paw. 28.2 - 286.9seconds, The mouse then drinks the water.
7. I am 100% confident in my results.", I am 100% confident in my results.
26,26,26,26,10, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 18.7seconds, A mouse is seen sitting in front of a spout with a drop of water on it. 19.4 - 111.2seconds, The mouse then uses his tongue to lick the water off the spout. 112.6 - 286.4seconds, He continues licking until he has the entire drop in his mouth. 
7. I am 100% confident in my results.", I am 100% confident in my results.
27,27,27,27,0, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 18.7seconds, A mouse is seen sitting in a cage with its head fixed in place. 19.4 - 111.2seconds, A metal spout appears and drops a ball of water for the mouse to catch. 112.6 - 286.2seconds, The mouse uses his tongue to grab the water and drink it. 
7. I am 100% confident in my results.", I am 100% confident in my results.
28,28,28,28,5, Yes, No, No,0.0,f, Failed: The mouse retrieved little or none of the water (less than 40%).,"1. Yes
2. No
3. No
4. 0%
5. Failed: The mouse retrieved little or none of the water (less than 40%).
6. 0.0 - 18.9seconds, A mouse is seen sitting in front of a spout with a drop of water hanging off. 17.8 - 111.4seconds, The mouse then uses his tongue to lick the water off the spout. 111.4 - 286.3seconds, He continues licking until he has the entire drop in his mouth. 
7. I am 100% confident in my results.", I am 100% confident in my results.
